src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,fwd_len_max,fwd_len_min,fwd_len_mean,fwd_len_std,bwd_len_max,bwd_len_min,bwd_len_mean,bwd_len_std,flow_bytes_per_s,flow_packets_per_s,fwd_packets_per_s,bwd_packets_per_s,iat_mean,iat_std,iat_max,iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,avg_pkt_size,avg_fwd_seg_size,avg_bwd_seg_size,init_win_bytes_fwd,init_win_bytes_bwd,act_data_pkt_fwd,min_seg_size_fwd,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,fwd_avg_bytes_bulk,fwd_avg_packets_bulk,fwd_avg_bulk_rate,bwd_avg_bytes_bulk,bwd_avg_packets_bulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,prediction
192.168.1.5,222.94.109.116,4004,8000,UDP,0.25615906715393066,2,0,442,0,361,81,221.0,140.0,0,0,0,0,1725.490356093443,7.807648670106077,7.807648670106077,0.0,0.25615906715393066,0.0,0.25615906715393066,0.25615906715393066,0.25615906715393066,0.25615906715393066,0.0,0.25615906715393066,0.25615906715393066,0,0.0,0.0,0,0,0,0,0,0,40,0,361,0,221.0,140.0,19600.0,0,0,0,0,0,0,0,0,0.0,221.0,221.0,0,0,0,0,0,0.25615906715393066,0.0,0.25615906715393066,0.25615906715393066,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,3,803,0,0,BENIGN
222.94.109.116,192.168.1.5,8000,4004,UDP,0.0,1,0,73,0,73,73,73.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,0,73,0,73.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,73.0,73.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,1,73,0,0,BENIGN
192.168.1.5,120.232.63.115,8944,20061,TCP,0.0,1,0,55,0,55,55,55.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,0,55,0,55.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,55.0,55.0,0,513,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,1,55,0,0,BENIGN
120.232.63.115,192.168.1.5,20061,8944,TCP,0.0,1,0,66,0,66,66,66.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,0,66,0,66.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,66.0,66.0,0,501,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,1,66,0,0,BENIGN
192.168.1.5,183.47.109.60,8706,443,TCP,0.0,1,0,54,0,54,54,54.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,0,54,0,54.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,54.0,54.0,0,32240,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,1,54,0,0,BENIGN
183.47.109.60,192.168.1.5,443,8961,TCP,0.02296900749206543,7,0,4961,0,1486,54,708.7142857142857,635.3174042017365,0,0,0,0,215986.6943190193,304.7584882550161,304.7584882550161,0.0,0.0038281679153442383,0.007442472183078274,0.020329952239990234,0.0,0.02296900749206543,0.0038281679153442383,0.007442472183078274,0.020329952239990234,0.0,0,0.0,0.0,0,0,3,0,0,0,140,0,1486,0,708.7142857142857,635.3174042017365,403628.20408163266,1,0,0,3,7,0,0,0,0.0,708.7142857142857,708.7142857142857,0,501,0,0,20,0.0038281679153442383,0.007442472183078274,0.020329952239990234,0.0,-0.004065990447998047,0.008301503378439818,0.0026390552520751953,-0.020329952239990234,0,0.0,0,0,0.0,0,28,16901,0,0,BENIGN
192.168.1.5,183.47.109.60,8961,443,TCP,0.002686023712158203,5,0,306,0,66,54,61.2,5.878775382679628,0,0,0,0,113923.04491390023,1861.4876619918339,1861.4876619918339,0.0,0.0006715059280395508,0.0011260660867826518,0.002621889114379883,1.3113021850585938e-05,0.002686023712158203,0.0006715059280395508,0.0011260660867826518,0.002621889114379883,1.3113021850585938e-05,0,0.0,0.0,0,0,0,0,0,0,100,0,66,0,61.2,5.878775382679628,34.56,0,0,0,0,5,0,0,0,0.0,61.2,61.2,0,32240,0,0,20,0.0006715059280395508,0.0011260660867826518,0.002621889114379883,1.3113021850585938e-05,-0.0008649826049804688,0.0012253349935700038,1.3828277587890625e-05,-0.002597808837890625,0,0.0,0,0,0.0,0,15,918,0,0,BENIGN
120.232.63.115,192.168.1.5,20061,6314,TCP,0.0,1,0,337,0,337,337,337.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1,0,0,0,20,0,337,0,337.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,337.0,337.0,0,501,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,1,337,0,0,BENIGN
192.168.1.5,120.232.63.115,6314,20061,TCP,0.0,1,0,54,0,54,54,54.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,0,54,0,54.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,54.0,54.0,0,258,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,1,54,0,0,BENIGN
192.168.1.5,120.232.63.115,8948,20061,TCP,0.0,1,0,55,0,55,55,55.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,0,55,0,55.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,55.0,55.0,0,514,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,1,55,0,0,BENIGN
